area sembrada,area cosechada,produccion,cultivo,PERIODO,rendimiento,municipio,prediccion
20,20,17,ARVEJA,2006B,0.84,SOGAMOSO,0.87
16,16,16,ARVEJA,2006B,1,SUTATENZA,0.98
10,10,7,ARVEJA,2006B,0.7,LA CAPILLA,0.7
10,9,15,ARVEJA,2006B,1.67,NOBSA,1.66
10,10,18,ARVEJA,2006B,1.8,TINJACA,1.795
8,8,10,ARVEJA,2006B,1.25,TOPAGA,1.29625
6,6,9,ARVEJA,2006B,1.5,LA UVITA,1.5
4,4,6,ARVEJA,2006B,1.5,RAQUIRA,1.41
3,3,2,ARVEJA,2006B,0.5,SOATA,0.53
1,1,0,ARVEJA,2006B,0.4,SATIVASUR,0.349666667
700,480,600,ARVEJA,2007A,1.25,CIENEGA,1.4
100,100,100,ARVEJA,2007A,1,CHIQUINQUIRA,1
50,50,90,ARVEJA,2007A,1.8,TASCO,1.805142857
35,35,55,ARVEJA,2007A,1.57,BUENAVISTA,1.478333333
30,25,50,ARVEJA,2007A,2,AQUITANIA,2
30,30,25,ARVEJA,2007A,0.84,SOGAMOSO,0.856666667
21,21,40,ARVEJA,2007A,1.95,RAMIRIQUI,2
20,20,26,ARVEJA,2007A,1.3,NUEVO COLON,1.3725
20,20,35,ARVEJA,2007A,1.75,VENTAQUEMADA,1.75125
19,14,14,ARVEJA,2007A,1,CHIVOR,0.9
18,18,36,ARVEJA,2007A,2,MOTAVITA,2
10,10,7,ARVEJA,2007A,0.7,CHINAVITA,0.7
10,10,9,ARVEJA,2007A,0.88,MONGUA,0.921190476
10,10,20,ARVEJA,2007A,2,TIBANA,2
5,5,4,ARVEJA,2007A,0.8,CHISCAS,0.7
5,3,6,ARVEJA,2007A,2,PACHAVITA,1.9975
4,4,4,ARVEJA,2007A,1,GUACAMAYAS,1
150,120,200,ARVEJA,2007B,1.67,CHIQUIZA,1.661666667
100,86,112,ARVEJA,2007B,1.3,NUEVO COLON,1.159285714
50,50,90,ARVEJA,2007B,1.8,VENTAQUEMADA,1.805142857
32,30,39,ARVEJA,2007B,1.3,BUENAVISTA,1.4
32,32,35,ARVEJA,2007B,1.1,TENZA,1.125
30,28,42,ARVEJA,2007B,1.5,SUSACON,1.4
22,21,17,ARVEJA,2007B,0.81,GUACAMAYAS,0.76375
18,18,36,ARVEJA,2007B,2,GARAGOA,2
15,12,18,ARVEJA,2007B,1.5,SOCHA,1.48
10,10,18,ARVEJA,2007B,1.8,BELEN,1.795
10,9,6,ARVEJA,2007B,0.7,LA CAPILLA,0.68875
10,10,1,ARVEJA,2007B,0.1,LABRANZAGRANDE,0.112
10,10,16,ARVEJA,2007B,1.6,PESCA,1.549
10,10,13,ARVEJA,2007B,1.3,TOPAGA,1.3
9,9,9,ARVEJA,2007B,1,ALMEIDA,1.025
8,8,1,ARVEJA,2007B,0.09,PAYA,0.112
6,6,11,ARVEJA,2007B,1.83,PAIPA,1.754888889
2,2,2,ARVEJA,2007B,0.75,CHIVOR,0.979833333
1400,1400,2600,ARVEJA,2008A,1.86,PESCA,1.99
309,280,540,ARVEJA,2008A,1.93,SIACHOQUE,1.9275
180,60,108,ARVEJA,2008A,1.8,MONGUI,1.875
180,170,325,ARVEJA,2008A,1.91,TOCA,1.4925
152,152,274,ARVEJA,2008A,1.8,CUCAITA,1.4
60,60,90,ARVEJA,2008A,1.5,BOYACA,1.497142857
35,35,29,ARVEJA,2008A,0.84,SOGAMOSO,0.869
12,12,14,ARVEJA,2008A,1.18,SOTAQUIRA,1.08625
11,10,7,ARVEJA,2008A,0.7,CHINAVITA,0.7
6,6,9,ARVEJA,2008A,1.5,LA UVITA,1.5
5,4,7,ARVEJA,2008A,1.7,CERINZA,1.935714286
4,3,3,ARVEJA,2008A,1,SUTATENZA,1
3,2,1,ARVEJA,2008A,0.5,SATIVASUR,0.68
200,200,360,ARVEJA,2008B,1.8,CUCAITA,1.4925
120,120,208,ARVEJA,2008B,1.73,RAMIRIQUI,1.828809524
100,80,120,ARVEJA,2008B,1.5,MONGUI,1.605
60,60,90,ARVEJA,2008B,1.5,BOYACA,1.497142857
45,43,43,ARVEJA,2008B,1,GUATEQUE,1.042
35,35,38,ARVEJA,2008B,1.1,TENZA,1.144
30,30,53,ARVEJA,2008B,1.75,TUTA,1.773611111
24,22,19,ARVEJA,2008B,0.86,GUACAMAYAS,0.871666667
20,19,19,ARVEJA,2008B,1,SUTATENZA,1.033333333
18,18,18,ARVEJA,2008B,1.05,SANTA ROSA DE VITERBO,1
18,18,27,ARVEJA,2008B,1.5,SUSACON,1.515
12,12,8,ARVEJA,2008B,0.7,LA CAPILLA,0.7
10,8,8,ARVEJA,2008B,1,BOAVITA,1
10,10,7,ARVEJA,2008B,0.7,CHITA,0.7
10,10,20,ARVEJA,2008B,2,MOTAVITA,2
10,10,19,ARVEJA,2008B,1.9,PESCA,1.89
5,5,7,ARVEJA,2008B,1.3,VILLA DE LEYVA,1.35
2,2,1,ARVEJA,2008B,0.5,CHIVOR,0.4675
700,590,826,ARVEJA,2009A,1.4,CIENEGA,1.75
600,600,1260,ARVEJA,2009A,2.1,SAMACA,2.0075
150,150,240,ARVEJA,2009A,1.6,TOCA,1.4
78,78,78,ARVEJA,2009A,1,CHIQUINQUIRA,1.025
60,54,85,ARVEJA,2009A,1.58,FIRAVITOBA,1.64875
30,30,21,ARVEJA,2009A,0.7,CHITA,0.7
28,28,30,ARVEJA,2009A,1.1,TENZA,1.056666667
10,10,11,ARVEJA,2009A,1.1,CUITIVA,1.05
6,6,3,ARVEJA,2009A,0.5,GUICAN,0.537714286
5,5,2,ARVEJA,2009A,0.3,MACANAL,0.468
5,4,4,ARVEJA,2009A,1.05,PAZ DE RIO,0.928333333
3,3,4,ARVEJA,2009A,1.7,PACHAVITA,1.37725
600,600,1260,ARVEJA,2009B,2.1,SAMACA,1.6575
250,250,300,ARVEJA,2009B,1.2,TUNJA,1.3175
120,80,88,ARVEJA,2009B,1.1,SABOYA,1.070833333
100,70,126,ARVEJA,2009B,1.8,CUCAITA,1.765
70,70,70,ARVEJA,2009B,1,CHIQUINQUIRA,1.054666667
36,35,35,ARVEJA,2009B,1,GUATEQUE,0.988333333
30,28,25,ARVEJA,2009B,0.88,MONGUA,0.856666667
30,20,36,ARVEJA,2009B,1.8,MONGUI,1.8
30,30,51,ARVEJA,2009B,1.7,RAQUIRA,1.773611111
17,17,27,ARVEJA,2009B,1.6,SOTAQUIRA,1.515
15,15,23,ARVEJA,2009B,1.5,SUSACON,1.525
8,8,14,ARVEJA,2009B,1.8,BELEN,1.77
5,5,5,ARVEJA,2009B,1,CHISCAS,1
4,4,6,ARVEJA,2009B,1.5,SANTA SOFIA,1.41
1,1,1,ARVEJA,2009B,1.7,CERINZA,1
1,1,1,ARVEJA,2009B,0.9,GUACAMAYAS,1
400,400,840,ARVEJA,2010A,2.1,SAMACA,2.1
57,57,60,ARVEJA,2010A,1.06,SOCHA,1.125
55,55,39,ARVEJA,2010A,0.7,COMBITA,0.7675
42,42,37,ARVEJA,2010A,0.88,MONGUA,0.878333333
30,30,30,ARVEJA,2010A,1,CUITIVA,1.0375
28,28,34,ARVEJA,2010A,1.2,BUENAVISTA,1.272857143
20,10,7,ARVEJA,2010A,0.7,CALDAS,0.7
20,15,16,ARVEJA,2010A,1.05,UMBITA,1.075
18,15,26,ARVEJA,2010A,1.7,RAMIRIQUI,1.73125
15,15,11,ARVEJA,2010A,0.7,SUTAMARCHAN,0.7
12,11,23,ARVEJA,2010A,2.1,SORA,1.9
10,9,10,ARVEJA,2010A,1.11,GUATEQUE,1.2675
10,8,13,ARVEJA,2010A,1.75,SUSACON,1.607619048
4,3,6,ARVEJA,2010A,1.7,CERINZA,1.9975
4,4,7,ARVEJA,2010A,1.75,PAIPA,1.935714286
4,4,4,ARVEJA,2010A,1.05,SOATA,1.014285714
3,3,3,ARVEJA,2010A,1,BUSBANZA,1.020833333
90,90,162,ARVEJA,2010B,1.8,CUCAITA,1.850666667
60,60,90,ARVEJA,2010B,1.5,BOYACA,1.497142857
50,50,35,ARVEJA,2010B,0.7,COMBITA,0.7125
30,30,36,ARVEJA,2010B,1.2,CUITIVA,1.2
30,30,32,ARVEJA,2010B,1.05,VIRACACHA,1.05
20,18,19,ARVEJA,2010B,1.05,SANTA ROSA DE VITERBO,1.065
20,19,34,ARVEJA,2010B,1.8,TINJACA,1.8
14,13,9,ARVEJA,2010B,0.7,CHINAVITA,0.7
12,11,13,ARVEJA,2010B,1.23,MIRAFLORES,1.214603175
11,11,19,ARVEJA,2010B,1.75,MACANAL,1.63
10,10,10,ARVEJA,2010B,1,BOAVITA,1
8,8,8,ARVEJA,2010B,1,SUTATENZA,1
5,5,4,ARVEJA,2010B,0.7,SAN EDUARDO,0.7
2,2,2,ARVEJA,2010B,1,BUSBANZA,0.979833333
2,1,1,ARVEJA,2010B,0.88,GUICAN,1.1
400,380,490,ARVEJA,2011A,1.29,CIENEGA,1.2725
150,150,240,ARVEJA,2011A,1.6,BOYACA,1.4
120,110,176,ARVEJA,2011A,1.6,TOCA,1.590833333
95,95,143,ARVEJA,2011A,1.5,SORACA,1.586666667
58,58,61,ARVEJA,2011A,1.06,SOCHA,1.1
30,24,24,ARVEJA,2011A,1,CHIVATA,1.041666667
30,20,40,ARVEJA,2011A,2,MONGUA,2
25,24,43,ARVEJA,2011A,1.8,TINJACA,1.791428571
21,21,24,ARVEJA,2011A,1.12,RONDON,1.15
20,20,42,ARVEJA,2011A,2.1,GARAGOA,2.1
20,10,19,ARVEJA,2011A,1.9,PESCA,1.75
18,16,29,ARVEJA,2011A,1.8,MONGUI,1.665
12,10,18,ARVEJA,2011A,1.75,LABRANZAGRANDE,1.795
10,10,15,ARVEJA,2011A,1.5,SUTATENZA,1.5
6,6,6,ARVEJA,2011A,1,LA UVITA,1.025
6,6,8,ARVEJA,2011A,1.3,VILLA DE LEYVA,1.355714286
3,3,3,ARVEJA,2011A,1,BUSBANZA,0.970833333
3,3,2,ARVEJA,2011A,0.8,GUICAN,0.573571429
2,1,1,ARVEJA,2011A,0.5,PISBA,1.458333333
92,92,138,ARVEJA,2011B,1.5,SORACA,1.400952381
80,60,120,ARVEJA,2011B,2,CHIQUINQUIRA,2
51,41,29,ARVEJA,2011B,0.7,SABOYA,0.625
31,31,37,ARVEJA,2011B,1.2,CUITIVA,1.2
30,28,28,ARVEJA,2011B,1,ARCABUCO,1.056666667
25,25,35,ARVEJA,2011B,1.4,OICATA,1.445
20,20,22,ARVEJA,2011B,1.12,RONDON,1.072857143
20,18,20,ARVEJA,2011B,1.1,SOGAMOSO,1.098333333
20,20,32,ARVEJA,2011B,1.6,SOTAQUIRA,1.6
8,7,18,ARVEJA,2011B,2.5,CHISCAS,2.6075
4,4,5,ARVEJA,2011B,1.3,VILLA DE LEYVA,1.291964286
3,3,3,ARVEJA,2011B,1,PAZ DE RIO,1.1
120,110,242,ARVEJA,2012A,2.2,PESCA,2.004642857
120,100,100,ARVEJA,2012A,1,SABOYA,0.9925
100,100,150,ARVEJA,2012A,1.5,SORACA,1.525
30,30,42,ARVEJA,2012A,1.4,COMBITA,1.4
30,25,63,ARVEJA,2012A,2.5,MONGUA,2
20,20,20,ARVEJA,2012A,1,RAQUIRA,1
18,15,23,ARVEJA,2012A,1.52,RAMIRIQUI,1.5
16,15,30,ARVEJA,2012A,2,TIBANA,1.948333333
12,10,17,ARVEJA,2012A,1.7,TUTA,1.7
10,9,18,ARVEJA,2012A,2,CHISCAS,1.795
10,8,20,ARVEJA,2012A,2.5,CORRALES,2.694166667
5,5,6,ARVEJA,2012A,1.2,VILLA DE LEYVA,1.15
4,3,4,ARVEJA,2012A,1.4,PAIPA,1.27625
3,3,2,ARVEJA,2012A,0.7,BETEITIVA,0.573571429
3,3,3,ARVEJA,2012A,1,CHIVOR,1.020833333
3,3,5,ARVEJA,2012A,1.5,TIPACOQUE,1.52
2,2,3,ARVEJA,2012A,2,CERINZA,1.7
2,2,1,ARVEJA,2012A,0.5,PISBA,0.45
50,50,50,ARVEJA,2012B,1,SOCHA,1.084166667
50,50,53,ARVEJA,2012B,1.05,TUNJA,1.084166667
29,24,43,ARVEJA,2012B,1.8,MONGUI,1.791428571
26,26,36,ARVEJA,2012B,1.4,GUATEQUE,1.357857143
12,12,22,ARVEJA,2012B,1.8,VIRACACHA,1.9
5,5,13,ARVEJA,2012B,2.5,CORRALES,2.477777778
5,5,6,ARVEJA,2012B,1.23,SAN EDUARDO,1.196666667
3,3,5,ARVEJA,2012B,1.52,CHINAVITA,1.662666667
2,1,3,ARVEJA,2012B,2,JERICO,1.5
400,400,490,ARVEJA,2013A,1.23,CIENEGA,1.2725
132,132,264,ARVEJA,2013A,2,SABOYA,1.33
70,70,140,ARVEJA,2013A,2,TOTA,2.008333333
51,51,38,ARVEJA,2013A,0.75,UMBITA,0.73
20,20,35,ARVEJA,2013A,1.75,BELEN,1.75125
10,10,12,ARVEJA,2013A,1.2,TASCO,1.22
8,8,8,ARVEJA,2013A,1.05,TENZA,1
6,5,8,ARVEJA,2013A,1.5,SUSACON,1.668333333
6,5,6,ARVEJA,2013A,1.2,VILLA DE LEYVA,1.145833333
5,5,4,ARVEJA,2013A,0.7,PACHAVITA,0.7
4,4,6,ARVEJA,2013A,1.4,PAIPA,1.41
2,2,1,ARVEJA,2013A,0.7,CERINZA,0.5825
130,130,164,ARVEJA,2013B,1.26,SAMACA,1.021666667
100,70,70,ARVEJA,2013B,1,SAN MIGUEL DE SEMA,1.054666667
100,100,158,ARVEJA,2013B,1.58,TOCA,1.525
80,80,144,ARVEJA,2013B,1.8,CUCAITA,1.646666667
80,80,50,ARVEJA,2013B,0.63,RAQUIRA,0.70625
50,50,53,ARVEJA,2013B,1.05,SIACHOQUE,1.084166667
30,30,21,ARVEJA,2013B,0.7,LA UVITA,0.7
30,28,25,ARVEJA,2013B,0.88,MONGUA,0.856666667
20,20,21,ARVEJA,2013B,1.05,TUNJA,1.072857143
18,17,12,ARVEJA,2013B,0.7,TASCO,0.724333333
15,15,18,ARVEJA,2013B,1.2,MIRAFLORES,1.2
12,9,9,ARVEJA,2013B,1.05,NOBSA,1
10,10,18,ARVEJA,2013B,1.8,TINJACA,1.795
10,10,6,ARVEJA,2013B,0.6,VIRACACHA,0.605
3,3,3,ARVEJA,2013B,1.1,SOATA,1.020833333
1,1,1,ARVEJA,2013B,1,JERICO,1
120,110,177,ARVEJA,2014A,1.6,TOCA,1.590833333
60,60,72,ARVEJA,2014A,1.21,CHIQUINQUIRA,1.206333333
50,45,80,ARVEJA,2014A,1.78,CUCAITA,1.715
50,50,53,ARVEJA,2014A,1.06,UMBITA,1.084166667
35,30,21,ARVEJA,2014A,0.7,CALDAS,0.7
30,25,35,ARVEJA,2014A,1.38,LA UVITA,1.445
30,28,32,ARVEJA,2014A,1.15,MONGUA,1.206190476
30,25,30,ARVEJA,2014A,1.19,SOGAMOSO,1.185
25,25,38,ARVEJA,2014A,1.5,JENESANO,1.5
20,10,10,ARVEJA,2014A,1,ARCABUCO,1
20,20,25,ARVEJA,2014A,1.27,SOCOTA,1.2375
10,10,9,ARVEJA,2014A,0.89,CHIVOR,0.921190476
8,7,11,ARVEJA,2014A,1.6,TUTA,1.52275
7,7,10,ARVEJA,2014A,1.58,SUSACON,1.509
6,5,3,ARVEJA,2014A,0.61,LABRANZAGRANDE,0.537
5,3,4,ARVEJA,2014A,1.41,OICATA,1.27625
3,3,5,ARVEJA,2014A,1.61,PAIPA,1.579166667
3,3,1,ARVEJA,2014A,0.41,SATIVASUR,0.399571429
1,1,1,ARVEJA,2014A,0.9,BUSBANZA,1
120,110,146,ARVEJA,2014B,1.33,BOYACA,1.27875
80,80,84,ARVEJA,2014B,1.06,UMBITA,1.070833333
30,28,32,ARVEJA,2014B,1.15,MONGUA,1.206190476
30,25,30,ARVEJA,2014B,1.19,SOGAMOSO,1.185
25,25,25,ARVEJA,2014B,1,CUITIVA,1.002
20,20,20,ARVEJA,2014B,0.99,COMBITA,1
16,16,22,ARVEJA,2014B,1.38,SOTAQUIRA,1.4125
14,14,27,ARVEJA,2014B,1.91,GARAGOA,1.908333333
10,10,13,ARVEJA,2014B,1.33,NUEVO COLON,1.3
10,10,16,ARVEJA,2014B,1.63,TASCO,1.549
8,8,11,ARVEJA,2014B,1.38,CHISCAS,1.376666667
6,5,4,ARVEJA,2014B,0.7,CHITA,0.716666667
6,1,1,ARVEJA,2014B,1.41,OICATA,1.05
5,5,9,ARVEJA,2014B,1.86,CORRALES,1.8
5,5,8,ARVEJA,2014B,1.58,SUSACON,1.5
4,3,2,ARVEJA,2014B,0.53,PAYA,0.5475
2,2,2,ARVEJA,2014B,1.22,GACHANTIVA,0.979833333
40,40,56,ARVEJA,2015A,1.4,TUNJA,1.398333333
30,30,35,ARVEJA,2015A,1.17,MONGUA,1.125
25,25,9,ARVEJA,2015A,0.37,JENESANO,0.4425
25,25,29,ARVEJA,2015A,1.17,LA UVITA,1.185
20,20,11,ARVEJA,2015A,0.56,TENZA,0.5375
10,10,14,ARVEJA,2015A,1.4,TUTA,1.395
7,5,2,ARVEJA,2015A,0.47,FLORESTA,0.348333333
7,5,5,ARVEJA,2015A,0.93,SANTA SOFIA,0.925
7,7,6,ARVEJA,2015A,0.79,SUSACON,0.9
2,2,2,ARVEJA,2015A,1.05,VILLA DE LEYVA,1.044
40,40,56,ARVEJA,2015B,1.4,TUNJA,1.398333333
30,25,29,ARVEJA,2015B,1.17,MONGUA,1.185
25,25,13,ARVEJA,2015B,0.51,BELEN,0.5025
15,12,11,ARVEJA,2015B,0.93,PAYA,0.892
10,9,8,ARVEJA,2015B,0.93,VIRACACHA,0.925
9,7,3,ARVEJA,2015B,0.42,BUENAVISTA,0.411666667
6,4,1,ARVEJA,2015B,0.33,CHITA,0.27
5,5,3,ARVEJA,2015B,0.51,DUITAMA,0.595
5,5,5,ARVEJA,2015B,0.9,TURMEQUE,1
220,220,308,ARVEJA,2016A,1.4,SAMACA,1.4925
176,176,216,ARVEJA,2016A,1.23,SORACA,1.4
40,39,25,ARVEJA,2016A,0.63,LA CAPILLA,0.633055556
30,20,11,ARVEJA,2016A,0.53,SIACHOQUE,0.5225
25,10,7,ARVEJA,2016A,0.7,CALDAS,0.7
20,20,14,ARVEJA,2016A,0.7,BELEN,0.7
20,20,18,ARVEJA,2016A,0.88,MOTAVITA,0.889166667
20,20,8,ARVEJA,2016A,0.42,TENZA,0.423928571
15,14,10,ARVEJA,2016A,0.7,LA UVITA,0.7
13,9,4,ARVEJA,2016A,0.42,CHIVATA,0.419375
12,10,8,ARVEJA,2016A,0.8,CHITA,0.817727273
12,11,8,ARVEJA,2016A,0.7,PACHAVITA,0.7
10,8,10,ARVEJA,2016A,1.23,PAIPA,1.2675
10,8,7,ARVEJA,2016A,0.9,SOATA,0.873333333
10,10,7,ARVEJA,2016A,0.7,SUTAMARCHAN,0.7
10,10,9,ARVEJA,2016A,0.91,VIRACACHA,0.921190476
7,7,3,ARVEJA,2016A,0.4,CHIVOR,0.411666667
7,7,10,ARVEJA,2016A,1.4,SUTATENZA,1.4715
3,1,1,ARVEJA,2016A,0.7,CHINAVITA,1.1
2,2,2,ARVEJA,2016A,1.2,SAN EDUARDO,1.059
1,1,1,ARVEJA,2016A,1,OICATA,1
130,80,71,ARVEJA,2016B,0.88,CHIQUINQUIRA,0.951666667
126,126,176,ARVEJA,2016B,1.4,CIENEGA,1.3825
65,65,65,ARVEJA,2016B,1,UMBITA,0.976666667
50,50,35,ARVEJA,2016B,0.7,RAQUIRA,0.7125
25,25,18,ARVEJA,2016B,0.7,JENESANO,0.773333333
20,15,6,ARVEJA,2016B,0.43,AQUITANIA,0.535
15,14,15,ARVEJA,2016B,1.05,LA UVITA,1.05
15,15,11,ARVEJA,2016B,0.7,MOTAVITA,0.7
15,14,17,ARVEJA,2016B,1.23,PAIPA,1.1325
12,10,8,ARVEJA,2016B,0.8,CHITA,0.817727273
8,8,3,ARVEJA,2016B,0.35,MONGUI,0.42
5,4,2,ARVEJA,2016B,0.39,CHIVATA,0.476785714
5,5,6,ARVEJA,2016B,1.2,CHISCAS,1.196666667
5,5,3,ARVEJA,2016B,0.5,GUICAN,0.545
4,4,2,ARVEJA,2016B,0.39,DUITAMA,0.513392857
4,3,3,ARVEJA,2016B,1.05,PAYA,1.020833333
4,4,4,ARVEJA,2016B,0.9,PISBA,1.014285714
3,2,1,ARVEJA,2016B,0.35,EL ESPINO,0.628333333
3,3,2,ARVEJA,2016B,0.7,SUSACON,0.573571429
3,2,1,ARVEJA,2016B,0.7,CHINAVITA,0.628333333
312,280,262,ARVEJA,2017A,0.93,SABOYA,1.1975
75,73,85,ARVEJA,2017A,1.17,CHIQUINQUIRA,1.425803571
50,49,46,ARVEJA,2017A,0.93,LA CAPILLA,0.9
50,50,47,ARVEJA,2017A,0.93,SIACHOQUE,0.9
50,50,93,ARVEJA,2017A,1.87,TIBANA,1.879444444
40,37,24,ARVEJA,2017A,0.65,COMBITA,0.6925
30,25,18,ARVEJA,2017A,0.7,BOYACA,0.7
30,30,42,ARVEJA,2017A,1.4,RAMIRIQUI,1.4
25,25,29,ARVEJA,2017A,1.17,BUENAVISTA,1.185
20,18,30,ARVEJA,2017A,1.68,CALDAS,1.594
15,15,14,ARVEJA,2017A,0.93,SOTAQUIRA,0.926
12,12,11,ARVEJA,2017A,0.93,RAQUIRA,0.927
10,10,8,ARVEJA,2017A,0.84,GARAGOA,0.817727273
10,10,8,ARVEJA,2017A,0.84,MACANAL,0.817727273
10,2,3,ARVEJA,2017A,1.4,OICATA,1.45
10,9,5,ARVEJA,2017A,0.54,SATIVANORTE,0.507
10,8,3,ARVEJA,2017A,0.42,SOATA,0.3485
9,9,16,ARVEJA,2017A,1.87,SUTATENZA,1.649
4,4,4,ARVEJA,2017A,1.07,ALMEIDA,1.014285714
4,4,3,ARVEJA,2017A,0.79,EL ESPINO,0.7475
4,4,4,ARVEJA,2017A,0.93,SAN MATEO,1.014285714
4,2,2,ARVEJA,2017A,0.93,SATIVASUR,1.042708333
4,4,7,ARVEJA,2017A,1.87,SORA,1.935714286
2,1,1,ARVEJA,2017A,0.7,BUSBANZA,1.1
250,240,224,ARVEJA,2017B,0.93,SABOYA,1.3575
120,70,33,ARVEJA,2017B,0.47,SORACA,0.311666667
100,95,89,ARVEJA,2017B,0.93,TOTA,0.82625
50,45,63,ARVEJA,2017B,1.4,CUCAITA,1.432
28,28,26,ARVEJA,2017B,0.93,JENESANO,0.936666667
15,15,14,ARVEJA,2017B,0.93,ALMEIDA,0.926
15,12,17,ARVEJA,2017B,1.4,VENTAQUEMADA,1.4
8,7,6,ARVEJA,2017B,0.89,GUATEQUE,0.9
4,2,2,ARVEJA,2017B,0.79,EL ESPINO,1.042708333
3,3,3,ARVEJA,2017B,0.93,SUSACON,0.940833333
3,3,3,ARVEJA,2017B,0.89,CORRALES,0.940833333
1,1,1,ARVEJA,2017B,1.4,CERINZA,1.2
485,485,907,ARVEJA,2018A,1.87,SAMACA,2.0075
45,45,20,ARVEJA,2018A,0.44,CHIQUIZA,0.504
40,40,37,ARVEJA,2018A,0.93,LA CAPILLA,0.878333333
31,31,22,ARVEJA,2018A,0.71,BOYACA,0.716666667
25,25,12,ARVEJA,2018A,0.47,BOAVITA,0.495
20,20,26,ARVEJA,2018A,1.29,LA UVITA,1.3225
20,20,21,ARVEJA,2018A,1.07,MOTAVITA,1.072857143
20,20,33,ARVEJA,2018A,1.64,PAIPA,1.61625
20,20,31,ARVEJA,2018A,1.53,PESCA,1.45
20,20,19,ARVEJA,2018A,0.93,RAMIRIQUI,0.936666667
18,18,25,ARVEJA,2018A,1.4,SANTA ROSA DE VITERBO,1.3
17,17,8,ARVEJA,2018A,0.47,MONGUI,0.5025
15,15,28,ARVEJA,2018A,1.87,TUTAZA,1.8375
14,14,11,ARVEJA,2018A,0.79,GUICAN,0.7
10,10,7,ARVEJA,2018A,0.7,TURMEQUE,0.705
9,9,8,ARVEJA,2018A,0.89,CORRALES,0.925
8,8,6,ARVEJA,2018A,0.75,JERICO,0.6775
6,6,3,ARVEJA,2018A,0.56,TASCO,0.537714286
5,5,6,ARVEJA,2018A,1.17,CHINAVITA,1.196666667
5,5,2,ARVEJA,2018A,0.48,FLORESTA,0.468
2,2,1,ARVEJA,2018A,0.49,PAZ DE RIO,0.55
30,30,48,FRIJOL,2006B,1.6,BUENAVISTA,1.55
26,26,18,FRIJOL,2006B,0.71,RONDON,0.773333333
25,24,25,FRIJOL,2006B,1.04,COMBITA,1.05
25,23,23,FRIJOL,2006B,1.02,PAEZ,1.025
25,23,16,FRIJOL,2006B,0.7,TUNUNGUA,0.71875
20,20,24,FRIJOL,2006B,1.2,SOTAQUIRA,1.2
17,15,17,FRIJOL,2006B,1.1,SAN EDUARDO,1.15
800,800,580,FRIJOL,2007A,0.73,SABOYA,1.335
230,50,20,FRIJOL,2007A,0.4,COVARACHIA,0.321666667
95,95,48,FRIJOL,2007A,0.5,FLORESTA,0.4375
90,60,42,FRIJOL,2007A,0.7,SAN MATEO,0.75
80,70,56,FRIJOL,2007A,0.8,MONIQUIRA,0.7625
70,70,48,FRIJOL,2007A,0.69,FIRAVITOBA,0.704333333
65,62,31,FRIJOL,2007A,0.5,SUSACON,0.496388889
45,44,35,FRIJOL,2007A,0.8,SAN PABLO DE BORBUR,0.878333333
40,35,35,FRIJOL,2007A,1,MUZO,0.988333333
32,23,39,FRIJOL,2007A,1.7,PACHAVITA,1.6
30,30,45,FRIJOL,2007A,1.5,MIRAFLORES,1.5
30,30,32,FRIJOL,2007A,1.05,UMBITA,1.05
28,22,21,FRIJOL,2007A,0.95,CHIVOR,1
20,20,40,FRIJOL,2007A,2,NUEVO COLON,2
6,4,2,FRIJOL,2007A,0.7,SAN EDUARDO,0.476785714
1,1,1,FRIJOL,2007A,0.9,PAJARITO,1.015
65,62,34,FRIJOL,2007B,0.55,SUSACON,0.523055556
40,28,20,FRIJOL,2007B,0.7,CIENEGA,0.7
40,37,31,FRIJOL,2007B,0.84,MIRAFLORES,0.8
32,29,15,FRIJOL,2007B,0.52,COPER,0.45
25,24,20,FRIJOL,2007B,0.83,CHITARAQUE,0.871666667
15,15,17,FRIJOL,2007B,1.1,SAN EDUARDO,1.2
10,8,14,FRIJOL,2007B,1.76,CHIQUIZA,1.795
6,6,6,FRIJOL,2007B,1,GACHANTIVA,1.025
2,2,2,FRIJOL,2007B,1.33,RAQUIRA,0.961111111
1,1,2,FRIJOL,2007B,1.5,PAJARITO,1.5
137,90,58,FRIJOL,2008A,0.64,PANQUEBA,0.5695
110,110,71,FRIJOL,2008A,0.65,CHISCAS,0.660238095
100,100,154,FRIJOL,2008A,1.54,TURMEQUE,1.5445
80,75,38,FRIJOL,2008A,0.5,SOCOTA,0.5595
60,60,42,FRIJOL,2008A,0.7,TIBASOSA,0.75
17,17,19,FRIJOL,2008A,1.12,CHIVOR,1.255
15,14,14,FRIJOL,2008A,1,CAMPOHERMOSO,0.975
15,15,15,FRIJOL,2008A,1,TOPAGA,1
15,15,16,FRIJOL,2008A,1.05,VIRACACHA,1.175
11,10,12,FRIJOL,2008A,1.2,CHIVATA,1.2
4,4,6,FRIJOL,2008A,1.5,SAN MIGUEL DE SEMA,1.41
2,2,4,FRIJOL,2008A,2,LA CAPILLA,1.99375
87,77,69,FRIJOL,2008B,0.9,MONIQUIRA,0.951666667
85,85,120,FRIJOL,2008B,1.41,NUEVO COLON,1.55
80,80,90,FRIJOL,2008B,1.13,SAN LUIS DE GACENO,1.070833333
70,70,80,FRIJOL,2008B,1.14,BOYACA,1.103
70,70,35,FRIJOL,2008B,0.5,SAN JOSE DE PARE,0.523055556
