area sembrada,area cosechada,produccion,cultivo,PERIODO,rendimiento,municipio,prediccion
5,4,4,ARVEJA,2009A,1,SUTATENZA,1.043666667
4,1,1,ARVEJA,2009A,0.9,GUACAMAYAS,1.106190476
2,2,1,ARVEJA,2009A,0.5,LABRANZAGRANDE,0.6
1,1,1,ARVEJA,2009A,1,BUSBANZA,0.992857143
1,1,1,ARVEJA,2009A,1.7,CERINZA,0.992857143
380,350,665,ARVEJA,2009B,1.9,SIACHOQUE,1.410375
70,70,49,ARVEJA,2009B,0.7,COMBITA,0.805
55,50,82,ARVEJA,2009B,1.64,FIRAVITOBA,1.607857143
50,40,76,ARVEJA,2009B,1.9,CHIQUIZA,1.83
40,40,60,ARVEJA,2009B,1.5,JENESANO,1.508333333
30,30,30,ARVEJA,2009B,1,BOAVITA,1
30,25,8,ARVEJA,2009B,0.3,SOCOTA,0.421
30,30,25,ARVEJA,2009B,0.84,SOGAMOSO,0.83
20,19,34,ARVEJA,2009B,1.8,TINJACA,1.824444444
13,12,8,ARVEJA,2009B,0.7,CHINAVITA,0.65
10,10,7,ARVEJA,2009B,0.7,CALDAS,0.7
10,10,12,ARVEJA,2009B,1.23,MIRAFLORES,1.20875
10,10,11,ARVEJA,2009B,1.05,TIBASOSA,1.05625
10,10,13,ARVEJA,2009B,1.3,TOPAGA,1.305416667
8,8,4,ARVEJA,2009B,0.5,PISBA,0.502727273
7,7,7,ARVEJA,2009B,1,BETEITIVA,0.997
5,5,8,ARVEJA,2009B,1.6,CORRALES,1.546666667
5,5,2,ARVEJA,2009B,0.3,MACANAL,0.429166667
3,3,3,ARVEJA,2009B,1.05,PAZ DE RIO,1.015
500,400,560,ARVEJA,2010A,1.4,CIENEGA,1.351
130,50,35,ARVEJA,2010A,0.7,SABOYA,0.7
60,50,80,ARVEJA,2010A,1.6,FIRAVITOBA,1.607857143
60,60,63,ARVEJA,2010A,1.05,VIRACACHA,1.03125
20,6,6,ARVEJA,2010A,1,PAYA,1
18,18,18,ARVEJA,2010A,1,CHIVOR,1.025
18,16,29,ARVEJA,2010A,1.8,MONGUI,1.85
12,12,16,ARVEJA,2010A,1.3,SOTAQUIRA,1.32
10,4,5,ARVEJA,2010A,1.3,NUEVO COLON,1.3
8,8,14,ARVEJA,2010A,1.8,ALMEIDA,1.778166667
7,7,12,ARVEJA,2010A,1.75,MACANAL,1.7
5,5,4,ARVEJA,2010A,0.7,LABRANZAGRANDE,0.75
5,5,5,ARVEJA,2010A,1,SUTATENZA,1
400,400,840,ARVEJA,2010B,2.1,SAMACA,2.1
150,110,176,ARVEJA,2010B,1.6,TOCA,1.572777778
50,2,4,ARVEJA,2010B,1.9,CHIQUIZA,2
50,40,28,ARVEJA,2010B,0.7,SABOYA,0.74
40,25,33,ARVEJA,2010B,1.3,NUEVO COLON,1.372857143
25,15,29,ARVEJA,2010B,1.9,PESCA,1.907916667
20,20,26,ARVEJA,2010B,1.3,BUENAVISTA,1.301125
18,18,36,ARVEJA,2010B,2,GARAGOA,2
15,5,9,ARVEJA,2010B,1.7,PACHAVITA,1.61
15,14,15,ARVEJA,2010B,1.05,SOCOTA,1.093333333
15,15,11,ARVEJA,2010B,0.7,SUTAMARCHAN,0.7
10,10,7,ARVEJA,2010B,0.7,CALDAS,0.7
10,8,10,ARVEJA,2010B,1.3,GAMEZA,1.2025
10,9,15,ARVEJA,2010B,1.7,RAMIRIQUI,1.5925
10,10,13,ARVEJA,2010B,1.3,TOPAGA,1.305416667
2,2,1,ARVEJA,2010B,0.4,SATIVASUR,0.333333333
70,50,100,ARVEJA,2011A,2,CHIQUINQUIRA,1.863392857
64,25,33,ARVEJA,2011A,1.3,BUENAVISTA,1.372857143
61,51,82,ARVEJA,2011A,1.6,FIRAVITOBA,1.607857143
21,20,24,ARVEJA,2011A,1.2,MIRAFLORES,1.198
20,20,20,ARVEJA,2011A,1,RAQUIRA,1
18,18,18,ARVEJA,2011A,1,CHIVOR,1.025
12,12,16,ARVEJA,2011A,1.3,SOTAQUIRA,1.32
10,5,3,ARVEJA,2011A,0.5,BOAVITA,0.48
10,10,15,ARVEJA,2011A,1.5,GAMEZA,1.5
8,8,13,ARVEJA,2011A,1.6,SANTA SOFIA,1.705
5,3,3,ARVEJA,2011A,1.05,DUITAMA,0.95
5,5,5,ARVEJA,2011A,1,GUATEQUE,1
3,3,4,ARVEJA,2011A,1.4,LA CAPILLA,1.37575
2,2,1,ARVEJA,2011A,0.5,PAYA,0.6375
100,100,100,ARVEJA,2011B,1,TUNJA,0.9725
51,20,26,ARVEJA,2011B,1.3,BUENAVISTA,1.301125
51,36,50,ARVEJA,2011B,1.4,TOTA,1.366666667
35,25,33,ARVEJA,2011B,1.3,NUEVO COLON,1.372857143
30,3,4,ARVEJA,2011B,1.2,BELEN,1.415
30,15,9,ARVEJA,2011B,0.6,BOAVITA,0.615
30,30,30,ARVEJA,2011B,1,GUATEQUE,1
29,24,43,ARVEJA,2011B,1.8,MONGUI,1.83547619
20,20,20,ARVEJA,2011B,1,RAQUIRA,1
15,10,17,ARVEJA,2011B,1.7,PACHAVITA,1.7
15,14,15,ARVEJA,2011B,1.05,SOCOTA,1.093333333
14,13,9,ARVEJA,2011B,0.7,CHINAVITA,0.681666667
10,10,13,ARVEJA,2011B,1.3,TOPAGA,1.305416667
5,5,5,ARVEJA,2011B,1,CHIVOR,1
5,5,8,ARVEJA,2011B,1.6,SANTA SOFIA,1.546666667
2,2,2,ARVEJA,2011B,0.88,GUICAN,0.94
400,400,490,ARVEJA,2012A,1.23,CIENEGA,1.264
121,120,258,ARVEJA,2012A,2.15,SAMACA,1.9
80,70,140,ARVEJA,2012A,2,SAN MIGUEL DE SEMA,1.844047619
70,70,140,ARVEJA,2012A,2,TOTA,1.844047619
60,55,83,ARVEJA,2012A,1.5,CHIQUINQUIRA,1.591666667
60,35,63,ARVEJA,2012A,1.8,CUCAITA,1.75
51,51,38,ARVEJA,2012A,0.75,UMBITA,0.73125
50,45,45,ARVEJA,2012A,1,ARCABUCO,1
50,25,40,ARVEJA,2012A,1.6,FIRAVITOBA,1.56
20,20,20,ARVEJA,2012A,1,SOCOTA,1
13,13,19,ARVEJA,2012A,1.47,GAMEZA,1.466666667
7,7,13,ARVEJA,2012A,1.9,ALMEIDA,2.15
5,5,10,ARVEJA,2012A,2,TURMEQUE,2
3,3,4,ARVEJA,2012A,1.4,GUATEQUE,1.37575
100,100,180,ARVEJA,2012B,1.8,CUCAITA,1.572777778
100,100,165,ARVEJA,2012B,1.65,TOCA,1.572777778
85,85,60,ARVEJA,2012B,0.7,UMBITA,0.673166667
45,10,10,ARVEJA,2012B,1,ARCABUCO,1
30,30,42,ARVEJA,2012B,1.4,COMBITA,1.4
30,30,32,ARVEJA,2012B,1.05,TASCO,1.058333333
20,20,40,ARVEJA,2012B,2,BELEN,1.8
18,18,53,ARVEJA,2012B,3,SANTA ROSA DE VITERBO,2.4
15,13,26,ARVEJA,2012B,2,SUTAMARCHAN,1.843333333
12,10,10,ARVEJA,2012B,1,SOCOTA,1
7,6,15,ARVEJA,2012B,2.5,TOPAGA,2.2625
5,2,2,ARVEJA,2012B,1.05,BUSBANZA,0.92175
4,4,4,ARVEJA,2012B,1.1,DUITAMA,1
500,500,525,ARVEJA,2013A,1.05,TUNJA,2.201
100,100,123,ARVEJA,2013A,1.23,TIBANA,1.310357143
40,35,35,ARVEJA,2013A,1,ARCABUCO,1
25,25,25,ARVEJA,2013A,1,BUENAVISTA,0.991666667
20,20,42,ARVEJA,2013A,2.1,SOCOTA,1.99
18,18,19,ARVEJA,2013A,1.05,MONGUI,1.073333333
7,6,4,ARVEJA,2013A,0.63,MACANAL,0.611
6,6,6,ARVEJA,2013A,1,BOAVITA,1.024
5,4,6,ARVEJA,2013A,1.4,CHISCAS,1.45
400,400,490,ARVEJA,2013B,1.23,CIENEGA,1.264
132,132,92,ARVEJA,2013B,0.7,SABOYA,0.9725
100,100,105,ARVEJA,2013B,1.05,SORACA,0.9725
60,60,72,ARVEJA,2013B,1.2,CHIQUINQUIRA,1.118333333
50,45,55,ARVEJA,2013B,1.23,RAMIRIQUI,1.15875
35,18,18,ARVEJA,2013B,1,BUENAVISTA,1.0125
30,25,18,ARVEJA,2013B,0.7,CALDAS,0.7075
30,20,11,ARVEJA,2013B,0.53,TOTA,0.54625
25,25,26,ARVEJA,2013B,1.05,BELEN,1.086309524
25,22,55,ARVEJA,2013B,2.5,FIRAVITOBA,2.45
23,20,11,ARVEJA,2013B,0.53,JENESANO,0.54625
15,13,14,ARVEJA,2013B,1.1,GAMEZA,1.05
14,14,20,ARVEJA,2013B,1.4,GARAGOA,1.431666667
8,8,5,ARVEJA,2013B,0.63,MACANAL,0.603977273
7,7,8,ARVEJA,2013B,1.1,DUITAMA,1.165952381
7,7,7,ARVEJA,2013B,1,SATIVANORTE,0.997
4,3,1,ARVEJA,2013B,0.35,LABRANZAGRANDE,0.387571429
4,3,2,ARVEJA,2013B,0.8,PAYA,0.565
3,3,2,ARVEJA,2013B,0.8,GACHANTIVA,0.55
3,3,1,ARVEJA,2013B,0.35,SATIVASUR,0.387571429
2,2,2,ARVEJA,2013B,1.05,BUSBANZA,0.94
1,1,0,ARVEJA,2013B,0.3,GUACAMAYAS,0.411666667
380,375,521,ARVEJA,2014A,1.39,CIENEGA,1.694
120,120,159,ARVEJA,2014A,1.33,BOYACA,1.36
120,110,159,ARVEJA,2014A,1.45,TOTA,1.572777778
50,50,81,ARVEJA,2014A,1.63,SIACHOQUE,1.607857143
26,26,26,ARVEJA,2014A,0.99,COMBITA,1.0775
