area sembrada,area cosechada,produccion,rendimiento,cultivo,municipio,PERIODO
18,18,36,2,ARVEJA,MOTAVITA,2007A
15,15,23,1.53,ARVEJA,CUITIVA,2007A
15,15,20,1.33,ARVEJA,TURMEQUE,2007A
12,12,8,0.7,ARVEJA,LA CAPILLA,2007A
12,10,20,2,ARVEJA,SOCHA,2007A
10,10,12,1.2,ARVEJA,BOAVITA,2007A
10,5,2,0.4,ARVEJA,BUSBANZA,2007A
10,10,7,0.7,ARVEJA,CHINAVITA,2007A
10,10,12,1.23,ARVEJA,MIRAFLORES,2007A
10,10,9,0.88,ARVEJA,MONGUA,2007A
10,8,8,1,ARVEJA,OICATA,2007A
10,10,20,2,ARVEJA,TIBANA,2007A
10,10,18,1.8,ARVEJA,TINJACA,2007A
10,10,13,1.3,ARVEJA,TOPAGA,2007A
10,10,10,1,ARVEJA,ZETAQUIRA,2007A
8,8,10,1.33,ARVEJA,NOBSA,2007A
7,7,11,1.5,ARVEJA,FLORESTA,2007A
7,6,8,1.3,ARVEJA,GAMEZA,2007A
6,5,3,0.56,ARVEJA,CERINZA,2007A
6,6,9,1.5,ARVEJA,LA UVITA,2007A
6,6,12,2,ARVEJA,VILLA DE LEYVA,2007A
5,5,4,0.8,ARVEJA,CHISCAS,2007A
5,3,5,1.5,ARVEJA,CORRALES,2007A
5,3,6,2,ARVEJA,PACHAVITA,2007A
5,3,5,1.75,ARVEJA,TUTA,2007A
4,4,4,1,ARVEJA,ARCABUCO,2007A
4,4,4,1,ARVEJA,GUACAMAYAS,2007A
4,1,1,1,ARVEJA,RONDON,2007A
3,3,4,1.33,ARVEJA,RAQUIRA,2007A
3,3,2,0.5,ARVEJA,SOATA,2007A
2,2,4,2,ARVEJA,SATIVANORTE,2007A
2,2,3,1.8,ARVEJA,TIPACOQUE,2007A
2606,2000,4200,2.1,ARVEJA,SAMACA,2007B
600,480,930,1.94,ARVEJA,CIENEGA,2007B
300,300,360,1.2,ARVEJA,TUNJA,2007B
220,200,320,1.6,ARVEJA,SIACHOQUE,2007B
180,120,216,1.8,ARVEJA,CUCAITA,2007B
150,120,200,1.67,ARVEJA,CHIQUIZA,2007B
120,120,180,1.5,ARVEJA,TOCA,2007B
100,86,112,1.3,ARVEJA,NUEVO COLON,2007B
100,85,155,1.82,ARVEJA,TASCO,2007B
96,94,94,1,ARVEJA,CHIQUINQUIRA,2007B
80,80,56,0.7,ARVEJA,CALDAS,2007B
80,70,49,0.7,ARVEJA,COMBITA,2007B
80,80,104,1.3,ARVEJA,RAMIRIQUI,2007B
70,70,56,0.8,ARVEJA,CHIVATA,2007B
65,65,98,1.5,ARVEJA,BOYACA,2007B
62,60,80,1.33,ARVEJA,FIRAVITOBA,2007B
60,60,84,1.4,ARVEJA,TOTA,2007B
53,53,56,1.05,ARVEJA,VIRACACHA,2007B
50,45,81,1.8,ARVEJA,MONGUI,2007B
50,40,27,0.66,ARVEJA,SABOYA,2007B
50,45,56,1.24,ARVEJA,SORA,2007B
50,50,90,1.8,ARVEJA,VENTAQUEMADA,2007B
48,47,47,1,ARVEJA,GUATEQUE,2007B
40,40,60,1.5,ARVEJA,JENESANO,2007B
32,30,39,1.3,ARVEJA,BUENAVISTA,2007B
32,32,35,1.1,ARVEJA,TENZA,2007B
31,30,51,1.7,ARVEJA,TINJACA,2007B
30,30,15,0.5,ARVEJA,CUITIVA,2007B
30,30,25,0.84,ARVEJA,SOGAMOSO,2007B
30,28,42,1.5,ARVEJA,SUSACON,2007B
22,21,17,0.81,ARVEJA,GUACAMAYAS,2007B
20,18,36,2,ARVEJA,AQUITANIA,2007B
20,18,22,1.2,ARVEJA,BOAVITA,2007B
20,20,18,0.88,ARVEJA,MONGUA,2007B
20,19,32,1.68,ARVEJA,UMBITA,2007B
18,18,36,2,ARVEJA,GARAGOA,2007B
18,18,36,2,ARVEJA,MOTAVITA,2007B
18,17,17,1,ARVEJA,SUTATENZA,2007B
16,16,26,1.67,ARVEJA,PACHAVITA,2007B
15,12,18,1.5,ARVEJA,SOCHA,2007B
15,15,18,1.2,ARVEJA,SOTAQUIRA,2007B
13,12,8,0.7,ARVEJA,CHINAVITA,2007B
12,12,18,1.5,ARVEJA,SANTA SOFIA,2007B
10,10,18,1.8,ARVEJA,BELEN,2007B
10,10,15,1.5,ARVEJA,BETEITIVA,2007B
10,10,7,0.7,ARVEJA,CHITA,2007B
10,9,6,0.7,ARVEJA,LA CAPILLA,2007B
10,10,1,0.1,ARVEJA,LABRANZAGRANDE,2007B
10,10,15,1.5,ARVEJA,OICATA,2007B
10,10,16,1.6,ARVEJA,PESCA,2007B
10,10,13,1.3,ARVEJA,TOPAGA,2007B
9,9,9,1,ARVEJA,ALMEIDA,2007B
8,8,10,1.3,ARVEJA,GAMEZA,2007B
8,8,1,0.09,ARVEJA,PAYA,2007B
8,8,8,1,ARVEJA,PISBA,2007B
8,6,10,1.73,ARVEJA,RAQUIRA,2007B
7,7,8,1.23,ARVEJA,MIRAFLORES,2007B
7,5,4,0.7,ARVEJA,SAN MIGUEL DE SEMA,2007B
6,6,8,1.33,ARVEJA,GACHANTIVA,2007B
6,6,9,1.5,ARVEJA,LA UVITA,2007B
6,6,11,1.83,ARVEJA,PAIPA,2007B
6,6,10,1.82,ARVEJA,SOCOTA,2007B
5,5,5,1,ARVEJA,CHISCAS,2007B
