area sembrada,area cosechada,produccion,rendimiento,cultivo,municipio,PERIODO
4,4,4,0.93,ARVEJA,SOCHA,2016A
4,4,3,0.81,ARVEJA,ALMEIDA,2016A
3,3,6,2,ARVEJA,VILLA DE LEYVA,2016A
3,3,3,1.05,ARVEJA,CERINZA,2016A
3,3,5,1.8,ARVEJA,TIPACOQUE,2016A
3,1,1,0.7,ARVEJA,CHINAVITA,2016A
2,2,2,1.2,ARVEJA,SAN EDUARDO,2016A
1,1,0,0.5,ARVEJA,BUSBANZA,2016A
1,1,1,1,ARVEJA,OICATA,2016A
250,250,131,0.53,ARVEJA,SABOYA,2016B
250,250,306,1.23,ARVEJA,SAMACA,2016B
250,250,350,1.4,ARVEJA,TUNJA,2016B
176,176,216,1.23,ARVEJA,SORACA,2016B
130,80,71,0.88,ARVEJA,CHIQUINQUIRA,2016B
126,126,176,1.4,ARVEJA,CIENEGA,2016B
90,50,53,1.05,ARVEJA,VENTAQUEMADA,2016B
65,65,65,1,ARVEJA,UMBITA,2016B
60,59,85,1.44,ARVEJA,TOCA,2016B
50,50,53,1.05,ARVEJA,CUCAITA,2016B
50,50,35,0.7,ARVEJA,RAQUIRA,2016B
30,30,21,0.7,ARVEJA,ALMEIDA,2016B
30,27,19,0.7,ARVEJA,COMBITA,2016B
30,29,18,0.63,ARVEJA,LA CAPILLA,2016B
30,28,15,0.53,ARVEJA,SOGAMOSO,2016B
30,20,11,0.53,ARVEJA,TOTA,2016B
28,28,39,1.4,ARVEJA,RONDON,2016B
25,25,18,0.7,ARVEJA,JENESANO,2016B
25,25,18,0.7,ARVEJA,RAMIRIQUI,2016B
20,15,6,0.43,ARVEJA,AQUITANIA,2016B
20,20,14,0.7,ARVEJA,BELEN,2016B
20,15,15,1,ARVEJA,LABRANZAGRANDE,2016B
15,15,5,0.35,ARVEJA,BOAVITA,2016B
15,13,13,1,ARVEJA,CHIQUIZA,2016B
15,15,16,1.05,ARVEJA,GAMEZA,2016B
15,14,15,1.05,ARVEJA,LA UVITA,2016B
15,15,11,0.7,ARVEJA,MOTAVITA,2016B
15,14,17,1.23,ARVEJA,PAIPA,2016B
15,14,15,1.05,ARVEJA,SANTA ROSA DE VITERBO,2016B
14,14,10,0.7,ARVEJA,SOTAQUIRA,2016B
12,12,12,1,ARVEJA,ARCABUCO,2016B
12,10,8,0.8,ARVEJA,CHITA,2016B
12,10,7,0.7,ARVEJA,MIRAFLORES,2016B
12,12,17,1.4,ARVEJA,TIBANA,2016B
10,5,3,0.5,ARVEJA,CALDAS,2016B
10,10,12,1.2,ARVEJA,MONGUA,2016B
10,2,1,0.53,ARVEJA,SIACHOQUE,2016B
10,10,9,0.91,ARVEJA,VIRACACHA,2016B
9,8,9,1.05,ARVEJA,TIBASOSA,2016B
9,8,4,0.49,ARVEJA,PACHAVITA,2016B
8,8,3,0.35,ARVEJA,MONGUI,2016B
8,8,3,0.42,ARVEJA,SATIVASUR,2016B
8,7,7,1,ARVEJA,TINJACA,2016B
7,7,3,0.4,ARVEJA,CHIVOR,2016B
7,6,3,0.53,ARVEJA,JERICO,2016B
7,5,5,0.9,ARVEJA,SOATA,2016B
7,5,2,0.3,ARVEJA,TURMEQUE,2016B
5,4,2,0.39,ARVEJA,CHIVATA,2016B
5,5,6,1.2,ARVEJA,CHISCAS,2016B
5,4,3,0.7,ARVEJA,CORRALES,2016B
5,4,2,0.4,ARVEJA,COVARACHIA,2016B
5,5,4,0.7,ARVEJA,CUITIVA,2016B
5,5,5,1.05,ARVEJA,GACHANTIVA,2016B
5,4,2,0.5,ARVEJA,GUACAMAYAS,2016B
5,5,3,0.5,ARVEJA,GUICAN,2016B
5,5,4,0.7,ARVEJA,NUEVO COLON,2016B
5,5,3,0.5,ARVEJA,SATIVANORTE,2016B
5,5,2,0.42,ARVEJA,SUTAMARCHAN,2016B
5,5,2,0.46,ARVEJA,TASCO,2016B
5,5,4,0.88,ARVEJA,TUTA,2016B
4,4,2,0.39,ARVEJA,DUITAMA,2016B
4,3,3,1.05,ARVEJA,PAYA,2016B
4,4,4,0.9,ARVEJA,PISBA,2016B
3,2,1,0.35,ARVEJA,EL ESPINO,2016B
3,3,2,0.7,ARVEJA,SUSACON,2016B
3,3,5,1.6,ARVEJA,TIPACOQUE,2016B
3,2,1,0.7,ARVEJA,CHINAVITA,2016B
2,2,2,1.05,ARVEJA,SORA,2016B
1,1,1,1.05,ARVEJA,CERINZA,2016B
312,280,262,0.93,ARVEJA,SABOYA,2017A
230,230,430,1.87,ARVEJA,SAMACA,2017A
160,100,47,0.47,ARVEJA,SORACA,2017A
148,148,207,1.4,ARVEJA,TUNJA,2017A
130,125,117,0.93,ARVEJA,TOTA,2017A
100,100,56,0.56,ARVEJA,CIENEGA,2017A
100,70,114,1.64,ARVEJA,TOCA,2017A
75,73,85,1.17,ARVEJA,CHIQUINQUIRA,2017A
60,55,103,1.87,ARVEJA,CUCAITA,2017A
50,49,46,0.93,ARVEJA,LA CAPILLA,2017A
50,50,47,0.93,ARVEJA,SIACHOQUE,2017A
50,50,93,1.87,ARVEJA,TIBANA,2017A
45,40,22,0.54,ARVEJA,CHIQUIZA,2017A
40,37,24,0.65,ARVEJA,COMBITA,2017A
40,40,56,1.4,ARVEJA,SOCOTA,2017A
40,39,64,1.64,ARVEJA,SOGAMOSO,2017A
30,30,56,1.87,ARVEJA,PAIPA,2017A
30,25,18,0.7,ARVEJA,BOYACA,2017A
30,30,42,1.4,ARVEJA,RAMIRIQUI,2017A
26,26,17,0.65,ARVEJA,RONDON,2017A
25,20,18,0.89,ARVEJA,BELEN,2017A
25,25,29,1.17,ARVEJA,BUENAVISTA,2017A
24,18,28,1.53,ARVEJA,PESCA,2017A
22,18,8,0.47,ARVEJA,LABRANZAGRANDE,2017A
20,15,21,1.4,ARVEJA,AQUITANIA,2017A
20,18,30,1.68,ARVEJA,CALDAS,2017A
20,2,1,0.56,ARVEJA,CHIVATA,2017A
20,20,40,2,ARVEJA,FIRAVITOBA,2017A
20,20,37,1.87,ARVEJA,JENESANO,2017A
20,20,11,0.56,ARVEJA,TENZA,2017A
20,17,24,1.4,ARVEJA,VENTAQUEMADA,2017A
18,18,20,1.09,ARVEJA,LA UVITA,2017A
18,18,23,1.26,ARVEJA,MOTAVITA,2017A
17,17,10,0.56,ARVEJA,MONGUI,2017A
16,16,22,1.4,ARVEJA,SANTA ROSA DE VITERBO,2017A
16,16,9,0.56,ARVEJA,UMBITA,2017A
15,12,20,1.64,ARVEJA,MIRAFLORES,2017A
15,15,14,0.93,ARVEJA,SOTAQUIRA,2017A
14,13,12,0.93,ARVEJA,PACHAVITA,2017A
13,13,12,0.93,ARVEJA,MONGUA,2017A
13,10,9,0.93,ARVEJA,SAN MIGUEL DE SEMA,2017A
12,12,6,0.47,ARVEJA,ARCABUCO,2017A
12,12,11,0.93,ARVEJA,RAQUIRA,2017A
10,10,6,0.56,ARVEJA,BOAVITA,2017A
10,8,6,0.79,ARVEJA,CHITA,2017A
10,10,12,1.21,ARVEJA,CORRALES,2017A
10,10,14,1.4,ARVEJA,GACHANTIVA,2017A
10,10,8,0.84,ARVEJA,GARAGOA,2017A
10,10,8,0.84,ARVEJA,MACANAL,2017A
10,2,3,1.4,ARVEJA,OICATA,2017A
10,8,9,1.17,ARVEJA,SANTA SOFIA,2017A
10,9,5,0.54,ARVEJA,SATIVANORTE,2017A
10,8,3,0.42,ARVEJA,SOATA,2017A
10,10,9,0.93,ARVEJA,SUTAMARCHAN,2017A
10,9,6,0.7,ARVEJA,TURMEQUE,2017A
10,10,12,1.21,ARVEJA,VIRACACHA,2017A
9,8,15,1.82,ARVEJA,TIBASOSA,2017A
9,9,16,1.87,ARVEJA,SUTATENZA,2017A
8,8,15,1.87,ARVEJA,CUITIVA,2017A
8,6,4,0.75,ARVEJA,JERICO,2017A
8,8,7,0.93,ARVEJA,SUSACON,2017A
8,8,4,0.56,ARVEJA,TASCO,2017A
7,7,3,0.47,ARVEJA,CHIVOR,2017A
7,7,6,0.79,ARVEJA,GUICAN,2017A
7,3,3,0.93,ARVEJA,TUTA,2017A
5,5,4,0.79,ARVEJA,BETEITIVA,2017A
5,5,2,0.47,ARVEJA,CHISCAS,2017A
5,5,2,0.47,ARVEJA,DUITAMA,2017A
5,5,7,1.4,ARVEJA,GAMEZA,2017A
5,4,2,0.57,ARVEJA,TOPAGA,2017A
5,4,2,0.47,ARVEJA,FLORESTA,2017A
4,4,4,1.07,ARVEJA,ALMEIDA,2017A
4,4,5,1.31,ARVEJA,CHINAVITA,2017A
4,4,3,0.79,ARVEJA,EL ESPINO,2017A
4,4,4,0.93,ARVEJA,SAN MATEO,2017A
4,2,2,0.93,ARVEJA,SATIVASUR,2017A
4,4,2,0.47,ARVEJA,SOCHA,2017A
4,4,7,1.87,ARVEJA,SORA,2017A
3,3,1,0.56,ARVEJA,COVARACHIA,2017A
2,2,4,1.87,ARVEJA,CERINZA,2017A
2,2,2,0.89,ARVEJA,SAN EDUARDO,2017A
2,2,3,1.4,ARVEJA,TUTAZA,2017A
2,1,1,0.7,ARVEJA,BUSBANZA,2017A
1,1,0,0.47,ARVEJA,PAZ DE RIO,2017A
455,455,638,1.4,ARVEJA,TUNJA,2017B
250,240,224,0.93,ARVEJA,SABOYA,2017B
240,240,449,1.87,ARVEJA,SAMACA,2017B
140,140,105,0.75,ARVEJA,CIENEGA,2017B
120,70,33,0.47,ARVEJA,SORACA,2017B
100,95,155,1.64,ARVEJA,CHIQUINQUIRA,2017B
100,100,187,1.87,ARVEJA,TIBANA,2017B
100,95,89,0.93,ARVEJA,TOTA,2017B
72,72,67,0.93,ARVEJA,RAQUIRA,2017B
50,45,63,1.4,ARVEJA,CUCAITA,2017B
50,48,67,1.4,ARVEJA,TOCA,2017B
45,40,17,0.44,ARVEJA,CHIQUIZA,2017B
40,38,76,2.01,ARVEJA,CALDAS,2017B
40,40,56,1.4,ARVEJA,SOCOTA,2017B
35,35,16,0.47,ARVEJA,UMBITA,2017B
32,31,29,0.93,ARVEJA,LA CAPILLA,2017B
30,20,14,0.7,ARVEJA,CHIVATA,2017B
30,27,18,0.65,ARVEJA,COMBITA,2017B
30,30,49,1.64,ARVEJA,PAIPA,2017B
30,28,43,1.53,ARVEJA,PESCA,2017B
30,30,17,0.56,ARVEJA,SIACHOQUE,2017B
28,26,43,1.64,ARVEJA,SOGAMOSO,2017B
28,28,26,0.93,ARVEJA,JENESANO,2017B
24,24,16,0.65,ARVEJA,RONDON,2017B
21,20,18,0.89,ARVEJA,BELEN,2017B
20,15,21,1.4,ARVEJA,AQUITANIA,2017B
20,20,19,0.93,ARVEJA,RAMIRIQUI,2017B
20,10,5,0.51,ARVEJA,TENZA,2017B
17,16,22,1.4,ARVEJA,SANTA ROSA DE VITERBO,2017B
15,15,14,0.93,ARVEJA,ALMEIDA,2017B
15,15,7,0.47,ARVEJA,BOAVITA,2017B
15,15,16,1.07,ARVEJA,MOTAVITA,2017B
15,15,14,0.93,ARVEJA,SOTAQUIRA,2017B
15,12,17,1.4,ARVEJA,VENTAQUEMADA,2017B
12,12,6,0.47,ARVEJA,ARCABUCO,2017B
12,12,10,0.84,ARVEJA,GARAGOA,2017B
12,9,12,1.35,ARVEJA,LA UVITA,2017B
12,12,8,0.65,ARVEJA,MONGUA,2017B
10,10,5,0.47,ARVEJA,CHISCAS,2017B
10,8,6,0.79,ARVEJA,CHITA,2017B
10,10,20,2,ARVEJA,FIRAVITOBA,2017B
10,10,14,1.4,ARVEJA,GAMEZA,2017B
10,9,4,0.47,ARVEJA,LABRANZAGRANDE,2017B
10,9,6,0.65,ARVEJA,PACHAVITA,2017B
10,9,5,0.51,ARVEJA,SATIVANORTE,2017B
10,9,4,0.42,ARVEJA,SOATA,2017B
10,10,12,1.21,ARVEJA,VIRACACHA,2017B
9,8,15,1.87,ARVEJA,TIBASOSA,2017B
8,8,7,0.93,ARVEJA,CUITIVA,2017B
8,7,7,0.93,ARVEJA,GUACAMAYAS,2017B
8,7,6,0.89,ARVEJA,GUATEQUE,2017B
8,6,4,0.75,ARVEJA,JERICO,2017B
8,8,12,1.64,ARVEJA,MIRAFLORES,2017B
8,8,4,0.47,ARVEJA,MONGUI,2017B
8,6,3,0.51,ARVEJA,OICATA,2017B
7,7,3,0.47,ARVEJA,CHIVOR,2017B
7,7,6,0.79,ARVEJA,GUICAN,2017B
6,6,8,1.4,ARVEJA,SORA,2017B
6,6,3,0.56,ARVEJA,TASCO,2017B
6,5,4,0.7,ARVEJA,TURMEQUE,2017B
6,6,7,1.17,ARVEJA,TUTA,2017B
5,5,2,0.47,ARVEJA,DUITAMA,2017B
5,5,7,1.4,ARVEJA,GACHANTIVA,2017B
5,5,5,0.93,ARVEJA,NUEVO COLON,2017B
5,5,3,0.56,ARVEJA,SUTAMARCHAN,2017B
4,3,4,1.17,ARVEJA,CHINAVITA,2017B
4,2,2,0.79,ARVEJA,EL ESPINO,2017B
4,4,2,0.56,ARVEJA,PAYA,2017B
4,4,3,0.7,ARVEJA,PISBA,2017B
4,4,2,0.57,ARVEJA,TOPAGA,2017B
3,3,3,0.93,ARVEJA,SUSACON,2017B
3,3,3,0.84,ARVEJA,BETEITIVA,2017B
3,3,3,0.89,ARVEJA,CORRALES,2017B
3,3,2,0.61,ARVEJA,COVARACHIA,2017B
3,3,5,1.87,ARVEJA,TUTAZA,2017B
2,2,1,0.75,ARVEJA,SAN MIGUEL DE SEMA,2017B
2,1,1,1.4,ARVEJA,SATIVASUR,2017B
1,1,1,1.4,ARVEJA,CERINZA,2017B
1600,1600,748,0.47,ARVEJA,SORACA,2018A
700,700,654,0.93,ARVEJA,SABOYA,2018A
485,485,907,1.87,ARVEJA,SAMACA,2018A
203,203,152,0.75,ARVEJA,CIENEGA,2018A
200,200,187,0.93,ARVEJA,TOTA,2018A
200,200,280,1.4,ARVEJA,TUNJA,2018A
100,100,140,1.4,ARVEJA,TOCA,2018A
80,80,131,1.64,ARVEJA,CHIQUINQUIRA,2018A
80,80,45,0.56,ARVEJA,SIACHOQUE,2018A
72,72,67,0.93,ARVEJA,RAQUIRA,2018A
60,60,84,1.4,ARVEJA,CUCAITA,2018A
50,50,47,0.93,ARVEJA,JENESANO,2018A
50,50,37,0.75,ARVEJA,SAN MIGUEL DE SEMA,2018A
50,50,93,1.87,ARVEJA,TIBANA,2018A
45,45,20,0.44,ARVEJA,CHIQUIZA,2018A
45,45,63,1.4,ARVEJA,SOCOTA,2018A
40,40,80,2.01,ARVEJA,CALDAS,2018A
40,40,26,0.65,ARVEJA,COMBITA,2018A
40,40,37,0.93,ARVEJA,LA CAPILLA,2018A
40,40,17,0.42,ARVEJA,SOATA,2018A
31,31,22,0.71,ARVEJA,BOYACA,2018A
31,31,51,1.64,ARVEJA,SOGAMOSO,2018A
30,30,21,0.7,ARVEJA,CHIVATA,2018A
30,30,20,0.65,ARVEJA,RONDON,2018A
26,26,31,1.2,ARVEJA,BUENAVISTA,2018A
25,25,12,0.47,ARVEJA,BOAVITA,2018A
25,25,13,0.51,ARVEJA,TENZA,2018A
25,25,29,1.17,ARVEJA,TUTA,2018A
25,25,12,0.47,ARVEJA,UMBITA,2018A
22,22,20,0.89,ARVEJA,BELEN,2018A
20,20,19,0.93,ARVEJA,ALMEIDA,2018A
20,20,28,1.4,ARVEJA,AQUITANIA,2018A
20,20,40,2,ARVEJA,FIRAVITOBA,2018A
20,20,26,1.29,ARVEJA,LA UVITA,2018A
20,20,9,0.47,ARVEJA,LABRANZAGRANDE,2018A
20,20,21,1.07,ARVEJA,MOTAVITA,2018A
20,20,33,1.64,ARVEJA,PAIPA,2018A
20,20,31,1.53,ARVEJA,PESCA,2018A
20,20,19,0.93,ARVEJA,RAMIRIQUI,2018A
20,20,28,1.4,ARVEJA,VENTAQUEMADA,2018A
18,18,12,0.65,ARVEJA,MONGUA,2018A
18,18,25,1.4,ARVEJA,SANTA ROSA DE VITERBO,2018A
18,18,17,0.93,ARVEJA,SOTAQUIRA,2018A
17,17,8,0.47,ARVEJA,MONGUI,2018A
15,15,7,0.47,ARVEJA,CHISCAS,2018A
15,15,14,0.93,ARVEJA,CUITIVA,2018A
15,15,25,1.64,ARVEJA,MIRAFLORES,2018A
15,15,8,0.56,ARVEJA,SUTAMARCHAN,2018A
15,15,28,1.87,ARVEJA,TUTAZA,2018A
14,14,11,0.79,ARVEJA,GUICAN,2018A
12,12,6,0.47,ARVEJA,ARCABUCO,2018A
12,12,6,0.51,ARVEJA,OICATA,2018A
12,12,11,0.93,ARVEJA,SUSACON,2018A
11,11,10,0.87,ARVEJA,MACANAL,2018A
11,11,13,1.18,ARVEJA,SANTA SOFIA,2018A
10,10,3,0.33,ARVEJA,CHITA,2018A
10,10,14,1.4,ARVEJA,GACHANTIVA,2018A
10,10,14,1.4,ARVEJA,GAMEZA,2018A
10,10,5,0.51,ARVEJA,SATIVANORTE,2018A
10,10,19,1.93,ARVEJA,SUTATENZA,2018A
10,10,19,1.87,ARVEJA,TIBASOSA,2018A
10,10,6,0.57,ARVEJA,TOPAGA,2018A
10,10,7,0.7,ARVEJA,TURMEQUE,2018A
10,10,12,1.21,ARVEJA,VIRACACHA,2018A
9,9,8,0.89,ARVEJA,CORRALES,2018A
9,9,6,0.65,ARVEJA,PACHAVITA,2018A
8,8,4,0.47,ARVEJA,CHIVOR,2018A
8,8,6,0.75,ARVEJA,JERICO,2018A
8,8,11,1.4,ARVEJA,SORA,2018A
6,6,3,0.56,ARVEJA,TASCO,2018A
5,5,6,1.17,ARVEJA,CHINAVITA,2018A
5,5,2,0.47,ARVEJA,DUITAMA,2018A
5,5,4,0.79,ARVEJA,EL ESPINO,2018A
5,5,2,0.48,ARVEJA,FLORESTA,2018A
5,5,5,0.96,ARVEJA,SAN MATEO,2018A
5,5,7,1.4,ARVEJA,SATIVASUR,2018A
5,5,2,0.47,ARVEJA,SOCHA,2018A
4,4,4,0.9,ARVEJA,BETEITIVA,2018A
3,3,4,1.4,ARVEJA,CERINZA,2018A
3,3,3,0.84,ARVEJA,GARAGOA,2018A
3,3,3,0.9,ARVEJA,SAN EDUARDO,2018A
2,2,1,0.73,ARVEJA,BUSBANZA,2018A
2,2,0,0.18,ARVEJA,COVARACHIA,2018A
2,2,1,0.49,ARVEJA,PAZ DE RIO,2018A
800,600,420,0.7,FRIJOL,SABOYA,2006B
700,700,840,1.2,FRIJOL,CHIQUINQUIRA,2006B
250,120,120,1,FRIJOL,COVARACHIA,2006B
222,221,442,2,FRIJOL,LA CAPILLA,2006B
105,84,134,1.6,FRIJOL,PACHAVITA,2006B
100,90,30,0.33,FRIJOL,GUICAN,2006B
80,60,24,0.4,FRIJOL,BOAVITA,2006B
80,80,80,1,FRIJOL,SAN LUIS DE GACENO,2006B
70,67,54,0.8,FRIJOL,MONIQUIRA,2006B
65,62,31,0.5,FRIJOL,SUSACON,2006B
60,60,42,0.7,FRIJOL,FIRAVITOBA,2006B
60,60,105,1.75,FRIJOL,TIBANA,2006B
50,50,75,1.5,FRIJOL,MIRAFLORES,2006B
50,50,95,1.9,FRIJOL,SAMACA,2006B
50,50,75,1.5,FRIJOL,ZETAQUIRA,2006B
46,46,63,1.37,FRIJOL,TENZA,2006B
40,40,55,1.38,FRIJOL,GARAGOA,2006B
40,40,25,0.63,FRIJOL,OTANCHE,2006B
40,39,16,0.41,FRIJOL,SAN PABLO DE BORBUR,2006B
38,38,77,2.03,FRIJOL,SUTATENZA,2006B
30,30,45,1.5,FRIJOL,ALMEIDA,2006B
30,30,48,1.6,FRIJOL,BUENAVISTA,2006B
30,30,60,2,FRIJOL,MACANAL,2006B
30,25,25,1,FRIJOL,MUZO,2006B
30,20,16,0.8,FRIJOL,SAN MATEO,2006B
30,20,21,1.05,FRIJOL,UMBITA,2006B
26,26,18,0.71,FRIJOL,RONDON,2006B
25,22,30,1.36,FRIJOL,CAMPOHERMOSO,2006B
25,24,25,1.04,FRIJOL,COMBITA,2006B
25,25,50,2,FRIJOL,JENESANO,2006B
25,23,23,1.02,FRIJOL,PAEZ,2006B
25,23,16,0.7,FRIJOL,TUNUNGUA,2006B
25,25,40,1.6,FRIJOL,TURMEQUE,2006B
23,20,12,0.6,FRIJOL,BERBEO,2006B
23,21,36,1.71,FRIJOL,GUAYATA,2006B
23,23,37,1.6,FRIJOL,SOMONDOCO,2006B
22,19,14,0.74,FRIJOL,CHIVOR,2006B
21,17,7,0.4,FRIJOL,SOATA,2006B
20,20,17,0.85,FRIJOL,CHINAVITA,2006B
20,20,16,0.8,FRIJOL,CHITARAQUE,2006B
20,18,13,0.7,FRIJOL,CIENEGA,2006B
20,20,28,1.4,FRIJOL,GACHANTIVA,2006B
20,20,40,2,FRIJOL,NUEVO COLON,2006B
20,15,20,1.33,FRIJOL,PAUNA,2006B
20,20,26,1.3,FRIJOL,RAQUIRA,2006B
20,20,24,1.2,FRIJOL,SOTAQUIRA,2006B
18,18,33,1.84,FRIJOL,GUATEQUE,2006B
18,18,11,0.63,FRIJOL,RAMIRIQUI,2006B
17,15,17,1.1,FRIJOL,SAN EDUARDO,2006B
16,16,16,1,FRIJOL,BRICENO,2006B
15,15,16,1.05,FRIJOL,VIRACACHA,2006B
15,15,14,0.9,FRIJOL,EL ESPINO,2006B
15,15,12,0.8,FRIJOL,PAYA,2006B
15,15,15,1,FRIJOL,TIPACOQUE,2006B
14,14,21,1.5,FRIJOL,TUTA,2006B
12,11,20,1.8,FRIJOL,CHIQUIZA,2006B
10,10,17,1.7,FRIJOL,BOYACA,2006B
10,9,11,1.2,FRIJOL,LA UVITA,2006B
10,10,7,0.7,FRIJOL,TIBASOSA,2006B
7,7,5,0.71,FRIJOL,TOGUI,2006B
6,6,8,1.4,FRIJOL,SANTA ROSA DE VITERBO,2006B
6,6,6,1,FRIJOL,VILLA DE LEYVA,2006B
5,5,4,0.8,FRIJOL,GUACAMAYAS,2006B
5,5,4,0.8,FRIJOL,PESCA,2006B
5,5,7,1.4,FRIJOL,SOGAMOSO,2006B
5,5,5,1.1,FRIJOL,TASCO,2006B
5,5,5,1.05,FRIJOL,TINJACA,2006B
3,3,5,1.67,FRIJOL,PAJARITO,2006B
2,2,3,1.5,FRIJOL,CERINZA,2006B
2,2,2,1,FRIJOL,SATIVANORTE,2006B
1,1,1,1.1,FRIJOL,SACHICA,2006B
800,800,580,0.73,FRIJOL,SABOYA,2007A
450,450,600,1.33,FRIJOL,CHIQUINQUIRA,2007A
400,360,234,0.65,FRIJOL,BOAVITA,2007A
240,240,120,0.5,FRIJOL,SOCOTA,2007A
230,50,20,0.4,FRIJOL,COVARACHIA,2007A
220,220,148,0.67,FRIJOL,GUACAMAYAS,2007A
220,180,180,1,FRIJOL,TOCA,2007A
150,70,60,0.86,FRIJOL,JERICO,2007A
150,140,170,1.21,FRIJOL,PANQUEBA,2007A
120,120,228,1.9,FRIJOL,CHISCAS,2007A
115,112,90,0.8,FRIJOL,SOCHA,2007A
95,95,48,0.5,FRIJOL,FLORESTA,2007A
90,60,42,0.7,FRIJOL,SAN MATEO,2007A
80,80,65,0.81,FRIJOL,EL COCUY,2007A
80,70,56,0.8,FRIJOL,MONIQUIRA,2007A
80,80,140,1.75,FRIJOL,SAMACA,2007A
75,75,75,1,FRIJOL,SAN LUIS DE GACENO,2007A
70,64,54,0.84,FRIJOL,CHITA,2007A
70,65,100,1.54,FRIJOL,COMBITA,2007A
70,70,48,0.69,FRIJOL,FIRAVITOBA,2007A
65,62,31,0.5,FRIJOL,SUSACON,2007A
60,60,42,0.7,FRIJOL,TIBASOSA,2007A
45,6,7,1.17,FRIJOL,CAMPOHERMOSO,2007A
45,44,35,0.8,FRIJOL,SAN PABLO DE BORBUR,2007A
40,28,20,0.7,FRIJOL,CIENEGA,2007A
40,35,35,1,FRIJOL,MUZO,2007A
40,40,25,0.63,FRIJOL,OTANCHE,2007A
40,40,76,1.9,FRIJOL,TIBANA,2007A
35,35,11,0.31,FRIJOL,GUICAN,2007A
35,34,27,0.79,FRIJOL,TOGUI,2007A
32,23,39,1.7,FRIJOL,PACHAVITA,2007A
30,30,21,0.7,FRIJOL,GAMEZA,2007A
30,30,45,1.5,FRIJOL,MIRAFLORES,2007A
30,30,36,1.2,FRIJOL,SOTAQUIRA,2007A
30,25,30,1.2,FRIJOL,TASCO,2007A
30,30,32,1.05,FRIJOL,UMBITA,2007A
28,22,21,0.95,FRIJOL,CHIVOR,2007A
27,25,15,0.6,FRIJOL,BERBEO,2007A
26,26,42,1.6,FRIJOL,TURMEQUE,2007A
25,25,25,1,FRIJOL,PAUNA,2007A
25,25,18,0.73,FRIJOL,RONDON,2007A
22,21,21,1.02,FRIJOL,PAEZ,2007A
20,20,20,1,FRIJOL,BRICENO,2007A
20,20,21,1.05,FRIJOL,BUENAVISTA,2007A
20,20,19,0.95,FRIJOL,CHINAVITA,2007A
20,20,37,1.84,FRIJOL,GUATEQUE,2007A
20,20,40,2,FRIJOL,JENESANO,2007A
20,20,40,2,FRIJOL,NUEVO COLON,2007A
20,20,14,0.7,FRIJOL,PISBA,2007A
20,18,13,0.7,FRIJOL,TUNUNGUA,2007A
19,19,12,0.63,FRIJOL,RAMIRIQUI,2007A
15,15,12,0.8,FRIJOL,CHITARAQUE,2007A
15,8,9,1.06,FRIJOL,CORRALES,2007A
15,15,12,0.8,FRIJOL,PAYA,2007A
14,13,23,1.8,FRIJOL,CHIQUIZA,2007A
14,6,9,1.5,FRIJOL,TUTA,2007A
12,10,8,0.8,FRIJOL,TOPAGA,2007A
12,10,8,0.8,FRIJOL,SOMONDOCO,2007A
11,9,5,0.5,FRIJOL,SOATA,2007A
10,10,5,0.5,FRIJOL,BETEITIVA,2007A
10,10,5,0.5,FRIJOL,BUSBANZA,2007A
10,10,8,0.8,FRIJOL,EL ESPINO,2007A
10,10,14,1.4,FRIJOL,GACHANTIVA,2007A
10,9,11,1.2,FRIJOL,LA UVITA,2007A
10,10,5,0.5,FRIJOL,PESCA,2007A
9,7,7,1,FRIJOL,SATIVANORTE,2007A
7,7,9,1.4,FRIJOL,NOBSA,2007A
7,6,8,1.4,FRIJOL,SANTA ROSA DE VITERBO,2007A
6,4,2,0.7,FRIJOL,SAN EDUARDO,2007A
6,6,8,1.33,FRIJOL,SOGAMOSO,2007A
5,5,8,1.6,FRIJOL,BOYACA,2007A
5,5,5,1.05,FRIJOL,TINJACA,2007A
5,5,6,1.2,FRIJOL,TIPACOQUE,2007A
4,4,5,1.3,FRIJOL,RAQUIRA,2007A
4,4,4,1,FRIJOL,VILLA DE LEYVA,2007A
3,3,5,1.5,FRIJOL,CERINZA,2007A
1,1,1,0.9,FRIJOL,PAJARITO,2007A
1,1,1,1.1,FRIJOL,SACHICA,2007A
525,490,660,1.35,FRIJOL,SAMACA,2007B
225,224,411,1.83,FRIJOL,LA CAPILLA,2007B
180,170,93,0.55,FRIJOL,COVARACHIA,2007B
155,150,97,0.65,FRIJOL,PANQUEBA,2007B
125,125,118,0.94,FRIJOL,CHIQUINQUIRA,2007B
121,118,100,0.85,FRIJOL,SOCHA,2007B
120,120,185,1.54,FRIJOL,TIBANA,2007B
110,110,71,0.65,FRIJOL,CHISCAS,2007B
100,100,154,1.54,FRIJOL,TURMEQUE,2007B
85,83,128,1.54,FRIJOL,NUEVO COLON,2007B
80,70,56,0.8,FRIJOL,BOAVITA,2007B
80,75,56,0.75,FRIJOL,MONIQUIRA,2007B
80,80,67,0.84,FRIJOL,SAN MATEO,2007B
80,80,80,1,FRIJOL,TIPACOQUE,2007B
70,70,66,0.94,FRIJOL,SAN LUIS DE GACENO,2007B
65,62,34,0.55,FRIJOL,SUSACON,2007B
60,60,38,0.63,FRIJOL,SAN JOSE DE PARE,2007B
