,area sembrada,area cosechada,produccion,rendimiento,cultivo,municipio,PERIODO,pred knn,pred rf,pred rl,pred rlaso
57,9,9,11,1.23,ARVEJA,MIRAFLORES,2006B,0.77,0.7918600000000011,0.7148895263671875,1.922746793699603
58,8,8,8,1.0,ARVEJA,ALMEIDA,2006B,2.6420000000000003,1.5050799999999993,-1.3715362548828125,1.9267190860327954
59,8,7,10,1.5,ARVEJA,GAMEZA,2006B,25.0,24.767199999999992,15.487350463867188,16.277050398827342
60,8,2,2,1.0,ARVEJA,RONDON,2006B,10.912,14.414160000000003,13.252487182617188,12.081316621893043
61,8,8,10,1.25,ARVEJA,TOPAGA,2006B,21.0,20.578600000000005,20.504440307617188,14.350488617229109
62,6,6,9,1.5,ARVEJA,LA UVITA,2006B,4.9399999999999995,1.0632600000000016,-0.1723175048828125,1.9275466469355438
63,6,6,9,1.5,ARVEJA,PISBA,2006B,4.14,1.0776600000000003,-0.1723175048828125,1.9235743546023514
64,5,5,8,1.5,ARVEJA,CORRALES,2006B,1.078,1.0386199999999957,1.3657684326171875,1.9222502571579536
65,5,5,9,1.75,ARVEJA,TUTA,2006B,6.33,1.73077999999999,2.1636199951171875,1.926553573852245
66,5,5,10,2.0,ARVEJA,VILLA DE LEYVA,2006B,1.6219999999999999,1.2446999999999981,0.6636199951171875,1.9257260129494966
67,4,4,4,1.0,ARVEJA,ARCABUCO,2006B,5.506,1.6833799999999934,3.2710418701171875,1.9248984520467483
68,4,4,6,1.5,ARVEJA,RAQUIRA,2006B,0.9600000000000002,0.8293999999999989,0.7241668701171875,1.9220847449774041
69,3,3,2,0.53,ARVEJA,CERINZA,2006B,5.492,1.00492,-0.5707550048828125,1.9225812815190535
70,3,3,2,0.5,ARVEJA,SOATA,2006B,6.82,0.7500799999999981,2.7632293701171875,1.9263880616716955
71,2,2,4,2.0,ARVEJA,SATIVANORTE,2006B,8.64,1.624599999999997,4.1597137451171875,1.94459440153216
72,2,2,4,2.0,ARVEJA,TIPACOQUE,2006B,3.044,1.494999999999998,1.2007293701171875,1.9292017687410405
73,1,1,0,0.4,ARVEJA,SATIVASUR,2006B,0.9800000000000001,1.00624,1.6455535888671875,1.9381394264907224
74,1000,800,1680,2.1,ARVEJA,SAMACA,2007A,5.328,2.3528000000000007,1.0249481201171875,1.9321809879909342
75,700,480,600,1.25,ARVEJA,CIENEGA,2007A,16.4,20.37422000000001,15.145065307617188,12.503372682294717
76,386,367,257,0.7,ARVEJA,COMBITA,2007A,0.9559999999999998,1.0553800000000029,1.8335418701171875,1.9244019155050998
77,350,350,600,1.71,ARVEJA,PESCA,2007A,0.9199999999999999,11.03456,12.821334838867188,12.066420525643572
78,280,180,294,1.63,ARVEJA,SOCOTA,2007A,16.2,18.9479,15.214401245117188,13.546099419757681
79,250,200,140,0.7,ARVEJA,CHITA,2007A,4.6979999999999995,19.239239999999974,16.054244995117188,13.215075058658327
80,200,190,300,1.58,ARVEJA,TOCA,2007A,5.064,6.7289000000000065,12.427291870117188,12.059303501879935
81,130,120,195,1.63,ARVEJA,CUCAITA,2007A,0.642,0.5600399999999999,0.0102996826171875,1.9222502571579536
82,120,108,81,0.75,ARVEJA,CHIVATA,2007A,2.6420000000000003,1.6442800000000006,-0.0448760986328125,1.9248984520467483
83,100,100,100,1.0,ARVEJA,CHIQUINQUIRA,2007A,10.978,12.850600000000004,14.427291870117188,12.159769395473589
84,100,80,140,1.75,ARVEJA,SORACA,2007A,3.8240000000000003,7.0062000000000015,12.458053588867188,12.058641453157737
85,100,96,160,1.67,ARVEJA,TUNJA,2007A,0.77,0.8104600000000032,0.2769012451171875,1.9229123058801525
86,100,100,50,0.5,ARVEJA,UMBITA,2007A,6.840000000000001,1.5111999999999999,-4.1303253173828125,2.027350491806998
87,70,70,85,1.21,ARVEJA,TOTA,2007A,8.306000000000001,12.002619999999999,10.764694213867188,12.19552002647232
88,60,60,120,2.0,ARVEJA,BELEN,2007A,2.776,1.8049799999999938,-0.7294464111328125,1.9301948418243384
89,60,30,60,2.0,ARVEJA,MONGUI,2007A,11.16,11.082780000000001,12.630416870117188,12.387514155909944
90,60,55,110,2.0,ARVEJA,SORA,2007A,6.384,4.11759999999999,10.606979370117188,12.063110282032579
91,55,50,82,1.65,ARVEJA,FIRAVITOBA,2007A,5.202,11.624220000000006,11.097213745117188,12.063772330754777
92,50,50,90,1.8,ARVEJA,TASCO,2007A,7.4,12.55348,10.356979370117188,12.413996104797892
93,49,48,86,1.79,ARVEJA,CHIQUIZA,2007A,1.134,0.9553799999999991,-1.1664581298828125,1.9310224027270868
94,40,40,28,0.7,ARVEJA,CALDAS,2007A,0.542,1.1386599999999993,0.6753387451171875,1.932512012352034
95,35,35,55,1.57,ARVEJA,BUENAVISTA,2007A,8.6,13.292400000000002,12.583541870117188,12.37923854688246
96,30,25,50,2.0,ARVEJA,AQUITANIA,2007A,5.032,6.7582,12.914596557617188,12.060462087143783
97,30,30,45,1.5,ARVEJA,BOYACA,2007A,10.440000000000001,1.0319600000000018,1.7319793701171875,1.9283742078382922
98,30,30,45,1.5,ARVEJA,SIACHOQUE,2007A,1.214,1.218719999999999,-0.2836456298828125,1.925891525130047
99,30,30,25,0.84,ARVEJA,SOGAMOSO,2007A,1.24,1.2084999999999995,2.2095184326171875,1.9237398667829009
100,30,28,56,2.0,ARVEJA,SUSACON,2007A,1.292,0.8294999999999992,1.4634246826171875,1.9220847449774041
101,30,26,29,1.1,ARVEJA,TENZA,2007A,4.1899999999999995,1.0700399999999972,1.2295379638671875,1.9222502571579536
102,23,22,23,1.05,ARVEJA,SANTA ROSA DE VITERBO,2007A,0.7060000000000001,1.533139999999999,1.6924285888671875,1.9260570373105965
103,21,21,40,1.95,ARVEJA,RAMIRIQUI,2007A,0.9600000000000002,1.0651999999999981,0.3843231201171875,1.9222502571579536
104,20,20,30,1.5,ARVEJA,GACHANTIVA,2007A,4.772,0.6842199999999964,2.3921356201171875,1.922415769338503
105,20,20,40,2.0,ARVEJA,GARAGOA,2007A,7.203999999999999,1.201679999999999,5.1367645263671875,1.925891525130047
106,20,20,35,1.75,ARVEJA,JENESANO,2007A,10.29,15.016059999999966,13.396041870117188,13.173697013520908
107,20,10,10,1.0,ARVEJA,JERICO,2007A,5.524,8.939620000000001,10.247604370117188,12.08297174369854
108,20,20,26,1.3,ARVEJA,NUEVO COLON,2007A,3.276,1.663739999999994,0.6226043701171875,1.9253949885883976
109,20,20,25,1.25,ARVEJA,PANQUEBA,2007A,0.8780000000000001,0.7999400000000029,0.6636199951171875,1.929698305282689
110,20,20,22,1.1,ARVEJA,SOTAQUIRA,2007A,6.9,7.165720000000012,9.936080932617188,12.074365110309955
111,20,20,35,1.75,ARVEJA,VENTAQUEMADA,2007A,5.464,0.860200000000002,-0.5023956298828125,1.9229123058801525
112,19,14,14,1.0,ARVEJA,CHIVOR,2007A,0.47000000000000003,0.8817999999999974,0.4429168701171875,1.9479046451431534
113,18,18,36,2.0,ARVEJA,MOTAVITA,2007A,18.762,1.8778600000000076,-13.678665161132812,2.627332146299576
114,15,15,23,1.53,ARVEJA,CUITIVA,2007A,1.5699999999999998,1.494859999999998,1.4409637451171875,1.9406221091989675
115,15,15,20,1.33,ARVEJA,TURMEQUE,2007A,6.24,1.00896,-0.2016143798828125,1.922415769338503
116,12,12,8,0.7,ARVEJA,LA CAPILLA,2007A,0.47000000000000003,0.505040000000002,0.0552215576171875,1.936649816865776
117,12,10,20,2.0,ARVEJA,SOCHA,2007A,3.176,1.0522200000000042,0.8804168701171875,1.9245674276856493
118,10,10,12,1.2,ARVEJA,BOAVITA,2007A,1.6600000000000001,1.0699199999999978,-1.3500518798828125,1.930691378365987
119,10,5,2,0.4,ARVEJA,BUSBANZA,2007A,1.656,1.6008799999999956,2.4487762451171875,1.9260570373105965
120,10,10,7,0.7,ARVEJA,CHINAVITA,2007A,9.6,11.87100000000001,11.259323120117188,12.106143448975494
121,10,10,12,1.23,ARVEJA,MIRAFLORES,2007A,11.4,13.240600000000008,11.983932495117188,12.423926835630873
122,10,10,9,0.88,ARVEJA,MONGUA,2007A,4.322,0.9599599999999961,-0.4398956298828125,1.9220847449774041
123,10,8,8,1.0,ARVEJA,OICATA,2007A,12.14,15.558660000000012,14.853073120117188,12.592749259791542
124,10,10,20,2.0,ARVEJA,TIBANA,2007A,0.9119999999999999,1.0123200000000012,1.0132293701171875,1.9232433302412515
125,10,10,18,1.8,ARVEJA,TINJACA,2007A,0.9480000000000001,0.8025200000000026,1.0132293701171875,1.9234088424218019
126,10,10,13,1.3,ARVEJA,TOPAGA,2007A,6.56,11.498680000000004,11.374069213867188,12.114419058002978
127,10,10,10,1.0,ARVEJA,ZETAQUIRA,2007A,6.537999999999999,1.7227399999999984,0.3179168701171875,2.014771566085223
128,8,8,10,1.33,ARVEJA,NOBSA,2007A,3.3600000000000003,14.223079999999985,12.446823120117188,12.30310294382961
129,7,7,11,1.5,ARVEJA,FLORESTA,2007A,10.406,18.069880000000012,14.840377807617188,12.61923120867949
130,7,6,8,1.3,ARVEJA,GAMEZA,2007A,5.16,0.946360000000001,-0.3539581298828125,1.922415769338503
131,6,5,3,0.56,ARVEJA,CERINZA,2007A,5.17,0.6726999999999987,1.6499481201171875,1.9316844514492857
132,6,6,9,1.5,ARVEJA,LA UVITA,2007A,1.1280000000000001,1.0990400000000025,0.4194793701171875,1.9234088424218019
133,6,6,12,2.0,ARVEJA,VILLA DE LEYVA,2007A,9.8,10.21122,11.390182495117188,12.080323548809744
134,5,5,4,0.8,ARVEJA,CHISCAS,2007A,1.26,1.4361400000000002,0.9175262451171875,1.9222502571579536
135,5,3,5,1.5,ARVEJA,CORRALES,2007A,10.09,17.92386,14.739791870117188,12.214388415054984
136,5,3,6,2.0,ARVEJA,PACHAVITA,2007A,5.377999999999999,1.46442,0.5093231201171875,1.923077818060702
137,5,3,5,1.75,ARVEJA,TUTA,2007A,14.071999999999997,20.35048,16.960494995117188,14.9695041724849
138,4,4,4,1.0,ARVEJA,ARCABUCO,2007A,1.1480000000000001,1.0068800000000002,0.3101043701171875,1.9349946950602792
139,4,4,4,1.0,ARVEJA,GUACAMAYAS,2007A,11.032,14.425160000000009,12.732955932617188,13.962362553840117
140,4,1,1,1.0,ARVEJA,RONDON,2007A,14.8,15.973600000000001,13.383834838867188,12.130639251696845
141,3,3,4,1.33,ARVEJA,RAQUIRA,2007A,1.2120000000000002,1.1721199999999998,2.1626434326171875,1.9250639642272986
142,3,3,2,0.5,ARVEJA,SOATA,2007A,1.126,1.4883199999999994,1.0913543701171875,1.9232433302412515
143,2,2,4,2.0,ARVEJA,SATIVANORTE,2007A,2.136,0.8385200000000014,-0.8148956298828125,1.9220847449774041
144,2,2,3,1.8,ARVEJA,TIPACOQUE,2007A,9.629999999999999,16.014600000000005,12.581588745117188,12.62502413499873
145,2606,2000,4200,2.1,ARVEJA,SAMACA,2007B,5.6,11.88,9.306198120117188,12.255104411470203
146,600,480,930,1.94,ARVEJA,CIENEGA,2007B,3.044,1.0567400000000042,0.4761199951171875,1.9305258661854374
147,300,300,360,1.2,ARVEJA,TUNJA,2007B,9.931999999999999,10.889059999999999,14.353073120117188,12.072378964143361
148,220,200,320,1.6,ARVEJA,SIACHOQUE,2007B,10.942,16.830679999999997,13.897018432617188,13.089285801440573
149,180,120,216,1.8,ARVEJA,CUCAITA,2007B,1.6179999999999999,1.9625999999999963,3.0522918701171875,1.9283742078382922
150,150,120,200,1.67,ARVEJA,CHIQUIZA,2007B,1.734,1.836919999999989,-1.0517120361328125,1.9248984520467483
151,120,120,180,1.5,ARVEJA,TOCA,2007B,3.176,1.4562199999999974,1.2319793701171875,1.9232433302412515
